,QUADRANT,MIN_LONG,MAX_LONG,MIN_LAT,MAX_LAT,MID_LAT,MID_LONG,NUM_PROPS,NUM_CRIMES,DIST_STATION,NUM_PEOPLE,CRIME_RATE
1954,1954,-71.17030728,-71.1664641,42.35546688,42.35875864,42.35711276,-71.16838569000001,0,0,1.064029195925392,136,0.0
1955,1955,-71.1664641,-71.16262092000001,42.35546688,42.35875864,42.35711276,-71.16454251,0,49,0.9030142331367109,0,inf
1956,1956,-71.16262092000001,-71.15877774,42.35546688,42.35875864,42.35711276,-71.16069933,0,45,0.7587988886022794,511,0.08806262230919765
1957,1957,-71.15877774,-71.15493456,42.35546688,42.35875864,42.35711276,-71.15685615000001,0,50,0.6427917862313591,154,0.3246753246753247
1958,1958,-71.15493456,-71.15109138000001,42.35546688,42.35875864,42.35711276,-71.15301297,4,241,0.572408309013106,73,3.3013698630136985
1959,1959,-71.15109138000001,-71.1472482,42.35546688,42.35875864,42.35711276,-71.14916979,11,88,0.5649652576965936,7,12.571428571428571
1960,1960,-71.1472482,-71.14340502,42.35546688,42.35875864,42.35711276,-71.14532661000001,140,171,0.6227236071938373,0,inf
1961,1961,-71.14340502,-71.13956184,42.35546688,42.35875864,42.35711276,-71.14148343,185,207,0.7303753220699286,0,inf
1962,1962,-71.13956184,-71.13571866000001,42.35546688,42.35875864,42.35711276,-71.13764025,52,70,0.8695838103132089,148,0.47297297297297297
1963,1963,-71.13571866000001,-71.13187548,42.35546688,42.35875864,42.35711276,-71.13379707000001,211,36,1.027603215114688,66,0.5454545454545454
1964,1964,-71.13187548,-71.1280323,42.35546688,42.35875864,42.35711276,-71.12995389,198,64,1.197006772100741,285,0.22456140350877193
1965,1965,-71.1280323,-71.12418912,42.35546688,42.35875864,42.35711276,-71.12611071,133,0,1.3735889211768388,68,0.0
1966,1966,-71.12418912,-71.12034594,42.35546688,42.35875864,42.35711276,-71.12226753,27,0,1.5549058828763729,183,0.0
