http://www.citypopulation.de/php/usa-boston.php
Name	Status	State	Population
Census
2000-04-01	Population
Census
2010-04-01
Middlesex County CT 3106.02	Census Tract	Massachusetts	5,610	5,825
Middlesex County CT 3107	Census Tract	Massachusetts	4,575	4,441
Middlesex County CT 3111	Census Tract	Massachusetts	2,286	2,410
Middlesex County CT 3112	Census Tract	Massachusetts	3,374	3,267
Middlesex County CT 3113	Census Tract	Massachusetts	3,954	4,057
Middlesex County CT 3114	Census Tract	Massachusetts	5,857	5,986
Middlesex County CT 3115	Census Tract	Massachusetts	2,908	2,974
Middlesex County CT 3116	Census Tract	Massachusetts	5,099	5,295
Middlesex County CT 3117	Census Tract	Massachusetts	4,923	5,098
Middlesex County CT 3118	Census Tract	Massachusetts	3,516	3,513
Middlesex County CT 3119	Census Tract	Massachusetts	2,666	2,429
Middlesex County CT 3120	Census Tract	Massachusetts	2,977	2,938
Middlesex County CT 3121	Census Tract	Massachusetts	3,112	3,149
Middlesex County CT 3122	Census Tract	Massachusetts	4,741	4,309
Middlesex County CT 3123	Census Tract	Massachusetts	5,023	4,931
Middlesex County CT 3124	Census Tract	Massachusetts	2,405	2,354
Middlesex County CT 3125.01	Census Tract	Massachusetts	4,497	4,464
Middlesex County CT 3125.02	Census Tract	Massachusetts	3,999	3,960
Middlesex County CT 3131.01	Census Tract	Massachusetts	4,927	5,488
Middlesex County CT 3131.02	Census Tract	Massachusetts	6,154	5,804
Middlesex County CT 3141.01	Census Tract	Massachusetts	5,548	6,055
Middlesex County CT 3141.02	Census Tract	Massachusetts	7,052	7,223
Middlesex County CT 3142	Census Tract	Massachusetts	5,533	5,233
Middlesex County CT 3143.01	Census Tract	Massachusetts	7,805	8,011
Middlesex County CT 3143.02	Census Tract	Massachusetts	2,624	2,935
Middlesex County CT 3151	Census Tract	Massachusetts	5,277	5,456
Middlesex County CT 3152	Census Tract	Massachusetts	7,265	7,585
Middlesex County CT 3154.01	Census Tract	Massachusetts	3,736	3,532
Middlesex County CT 3154.02	Census Tract	Massachusetts	2,833	2,921
Middlesex County CT 3154.03	Census Tract	Massachusetts	1,763	1,745
Middlesex County CT 3155	Census Tract	Massachusetts	7,977	7,722
Middlesex County CT 3161.01	Census Tract	Massachusetts	5,237	5,108
Middlesex County CT 3161.02	Census Tract	Massachusetts	6,091	6,060
Middlesex County CT 3162.01	Census Tract	Massachusetts	4,006	4,104
Middlesex County CT 3162.02	Census Tract	Massachusetts	4,183	4,290
Middlesex County CT 3163	Census Tract	Massachusetts	7,118	8,172
Middlesex County CT 3164	Census Tract	Massachusetts	6,377	6,570
Middlesex County CT 3165	Census Tract	Massachusetts	5,969	5,939
Middlesex County CT 3171.01	Census Tract	Massachusetts	5,891	6,139
Middlesex County CT 3171.02	Census Tract	Massachusetts	4,395	4,353
Middlesex County CT 3171.03	Census Tract	Massachusetts	5,034	4,895
Middlesex County CT 3172.01	Census Tract	Massachusetts	2,883	2,849
Middlesex County CT 3172.02	Census Tract	Massachusetts	3,445	3,388
Middlesex County CT 3172.03	Census Tract	Massachusetts	4,368	4,003
Middlesex County CT 3173.01	Census Tract	Massachusetts	...	2,627
Middlesex County CT 3173.02	Census Tract	Massachusetts	...	5,548
Middlesex County CT 3181	Census Tract	Massachusetts	6,116	6,674
Middlesex County CT 3182	Census Tract	Massachusetts	3,690	3,853
Middlesex County CT 3183	Census Tract	Massachusetts	7,175	7,516
Middlesex County CT 3184	Census Tract	Massachusetts	3,773	3,908
Middlesex County CT 3201.02	Census Tract	Massachusetts	4,717	5,040
Middlesex County CT 3201.03	Census Tract	Massachusetts	...	2,795
Middlesex County CT 3201.04	Census Tract	Massachusetts	...	7,090
Middlesex County CT 3211	Census Tract	Massachusetts	6,498	6,992
Middlesex County CT 3212	Census Tract	Massachusetts	6,111	6,267
Middlesex County CT 3213	Census Tract	Massachusetts	7,259	7,497
Middlesex County CT 3214	Census Tract	Massachusetts	2,905	3,297
Middlesex County CT 3215	Census Tract	Massachusetts	6,122	6,898
Middlesex County CT 3216	Census Tract	Massachusetts	7,360	7,548
Middlesex County CT 3221	Census Tract	Massachusetts	4,650	4,671
Middlesex County CT 3222	Census Tract	Massachusetts	3,140	3,687
Middlesex County CT 3223	Census Tract	Massachusetts	5,784	6,090
Middlesex County CT 3224	Census Tract	Massachusetts	4,539	4,615
Middlesex County CT 3231	Census Tract	Massachusetts	5,902	6,590
Middlesex County CT 3241.01	Census Tract	Massachusetts	...	4,761
Middlesex County CT 3241.02	Census Tract	Massachusetts	...	4,163
Middlesex County CT 3251	Census Tract	Massachusetts	7,287	7,427
Middlesex County CT 3261.01	Census Tract	Massachusetts	...	3,896
Middlesex County CT 3261.02	Census Tract	Massachusetts	...	6,750
Middlesex County CT 3271.01	Census Tract	Massachusetts	3,266	3,586
Middlesex County CT 3271.02	Census Tract	Massachusetts	4,275	4,333
Middlesex County CT 3271.03	Census Tract	Massachusetts	3,601	3,578
Middlesex County CT 3281	Census Tract	Massachusetts	2,829	3,179
Middlesex County CT 3301	Census Tract	Massachusetts	7,735	8,231
Middlesex County CT 3302	Census Tract	Massachusetts	6,102	6,661
Middlesex County CT 3311.01	Census Tract	Massachusetts	2,894	3,011
Middlesex County CT 3311.02	Census Tract	Massachusetts	6,631	6,971
Middlesex County CT 3312	Census Tract	Massachusetts	5,075	5,346
Middlesex County CT 3313	Census Tract	Massachusetts	6,763	6,997
Middlesex County CT 3321	Census Tract	Massachusetts	6,103	5,972
Middlesex County CT 3322	Census Tract	Massachusetts	7,277	8,376
Middlesex County CT 3323	Census Tract	Massachusetts	6,823	6,677
Middlesex County CT 3324	Census Tract	Massachusetts	2,673	3,473
Middlesex County CT 3331	Census Tract	Massachusetts	7,327	7,399
Middlesex County CT 3332	Census Tract	Massachusetts	5,089	5,364
Middlesex County CT 3333	Census Tract	Massachusetts	4,124	4,063
Middlesex County CT 3334	Census Tract	Massachusetts	5,942	6,229
Middlesex County CT 3335.01	Census Tract	Massachusetts	5,169	5,001
Middlesex County CT 3335.02	Census Tract	Massachusetts	3,305	3,273
Middlesex County CT 3336	Census Tract	Massachusetts	6,302	6,791
Middlesex County CT 3341	Census Tract	Massachusetts	5,376	6,718
Middlesex County CT 3342	Census Tract	Massachusetts	4,042	3,968
Middlesex County CT 3343	Census Tract	Massachusetts	7,697	7,605
Middlesex County CT 3344	Census Tract	Massachusetts	6,593	6,456
Middlesex County CT 3351	Census Tract	Massachusetts	5,995	5,728
Middlesex County CT 3352	Census Tract	Massachusetts	5,684	5,637
Middlesex County CT 3353.01	Census Tract	Massachusetts	...	3,852
Middlesex County CT 3353.02	Census Tract	Massachusetts	...	4,621
Middlesex County CT 3354	Census Tract	Massachusetts	4,971	5,094
Middlesex County CT 3361	Census Tract	Massachusetts	5,759	5,360
Middlesex County CT 3362	Census Tract	Massachusetts	6,264	6,142
Middlesex County CT 3363	Census Tract	Massachusetts	6,782	6,664
Middlesex County CT 3364.01	Census Tract	Massachusetts	3,754	4,260
Middlesex County CT 3364.02	Census Tract	Massachusetts	4,575	4,557
Middlesex County CT 3371.01	Census Tract	Massachusetts	3,180	3,095
Middlesex County CT 3371.02	Census Tract	Massachusetts	5,377	5,042
Middlesex County CT 3372.01	Census Tract	Massachusetts	3,320	3,192
Middlesex County CT 3372.02	Census Tract	Massachusetts	5,004	4,849
Middlesex County CT 3373	Census Tract	Massachusetts	5,338	5,259
Middlesex County CT 3381	Census Tract	Massachusetts	2,807	2,964
Middlesex County CT 3382	Census Tract	Massachusetts	3,847	3,869
Middlesex County CT 3383	Census Tract	Massachusetts	3,092	3,180
Middlesex County CT 3384	Census Tract	Massachusetts	5,678	5,745
Middlesex County CT 3385	Census Tract	Massachusetts	5,386	5,616
Middlesex County CT 3391	Census Tract	Massachusetts	6,758	6,442
Middlesex County CT 3392	Census Tract	Massachusetts	5,883	5,830
Middlesex County CT 3393	Census Tract	Massachusetts	3,017	2,890
Middlesex County CT 3394	Census Tract	Massachusetts	3,512	3,326
Middlesex County CT 3395	Census Tract	Massachusetts	5,702	5,399
Middlesex County CT 3396	Census Tract	Massachusetts	5,042	5,024
Middlesex County CT 3397	Census Tract	Massachusetts	4,039	3,878
Middlesex County CT 3398.01	Census Tract	Massachusetts	...	4,410
Middlesex County CT 3398.02	Census Tract	Massachusetts	...	4,557
Middlesex County CT 3399	Census Tract	Massachusetts	5,310	5,171
Middlesex County CT 3400	Census Tract	Massachusetts	2,570	2,594
Middlesex County CT 3401	Census Tract	Massachusetts	6,582	6,652
Middlesex County CT 3411.01	Census Tract	Massachusetts	...	3,675
Middlesex County CT 3411.02	Census Tract	Massachusetts	...	4,564
Middlesex County CT 3412	Census Tract	Massachusetts	6,428	6,857
Middlesex County CT 3413	Census Tract	Massachusetts	4,736	5,439
Middlesex County CT 3414	Census Tract	Massachusetts	6,021	6,212
Middlesex County CT 3415	Census Tract	Massachusetts	4,466	4,780
Middlesex County CT 3416	Census Tract	Massachusetts	6,624	6,564
Middlesex County CT 3417	Census Tract	Massachusetts	5,337	5,298
Middlesex County CT 3418	Census Tract	Massachusetts	6,608	6,554
Middlesex County CT 3419.01	Census Tract	Massachusetts	...	1,387
Middlesex County CT 3419.02	Census Tract	Massachusetts	...	8,120
Middlesex County CT 3421.01	Census Tract	Massachusetts	...	4,457
Middlesex County CT 3421.02	Census Tract	Massachusetts	...	4,066
Middlesex County CT 3422.01	Census Tract	Massachusetts	...	5,268
Middlesex County CT 3422.02	Census Tract	Massachusetts	...	3,833
Middlesex County CT 3423	Census Tract	Massachusetts	5,945	6,826
Middlesex County CT 3424	Census Tract	Massachusetts	5,685	6,055
Middlesex County CT 3425	Census Tract	Massachusetts	6,383	6,797
Middlesex County CT 3426	Census Tract	Massachusetts	3,883	4,365
Middlesex County CT 3501.03	Census Tract	Massachusetts	...	1,210
Middlesex County CT 3501.04	Census Tract	Massachusetts	...	7,275
Middlesex County CT 3502	Census Tract	Massachusetts	6,806	6,567
Middlesex County CT 3503	Census Tract	Massachusetts	2,559	2,441
Middlesex County CT 3504	Census Tract	Massachusetts	5,921	5,568
Middlesex County CT 3505	Census Tract	Massachusetts	1,677	1,629
Middlesex County CT 3506	Census Tract	Massachusetts	4,525	4,572
Middlesex County CT 3507	Census Tract	Massachusetts	6,096	6,048
Middlesex County CT 3508	Census Tract	Massachusetts	1,730	1,828
Middlesex County CT 3509	Census Tract	Massachusetts	3,139	3,314
Middlesex County CT 3510	Census Tract	Massachusetts	6,395	6,450
Middlesex County CT 3511	Census Tract	Massachusetts	5,932	5,622
Middlesex County CT 3512.03	Census Tract	Massachusetts	...	4,241
Middlesex County CT 3512.04	Census Tract	Massachusetts	...	4,129
Middlesex County CT 3513	Census Tract	Massachusetts	4,336	4,233
Middlesex County CT 3514.03	Census Tract	Massachusetts	...	4,028
Middlesex County CT 3514.04	Census Tract	Massachusetts	...	4,289
Middlesex County CT 3515	Census Tract	Massachusetts	2,066	2,310
Middlesex County CT 3521.01	Census Tract	Massachusetts	...	1,654
Middlesex County CT 3521.02	Census Tract	Massachusetts	...	2,277
Middlesex County CT 3522	Census Tract	Massachusetts	2,021	1,849
Middlesex County CT 3523	Census Tract	Massachusetts	2,229	3,450
Middlesex County CT 3524	Census Tract	Massachusetts	1,942	2,126
Middlesex County CT 3525	Census Tract	Massachusetts	3,312	2,894
Middlesex County CT 3526	Census Tract	Massachusetts	2,652	2,378
Middlesex County CT 3527	Census Tract	Massachusetts	2,407	2,057
Middlesex County CT 3528	Census Tract	Massachusetts	2,385	2,115
Middlesex County CT 3529	Census Tract	Massachusetts	2,553	2,646
Middlesex County CT 3530	Census Tract	Massachusetts	3,706	3,584
Middlesex County CT 3531.01	Census Tract	Massachusetts	...	2,460
Middlesex County CT 3531.02	Census Tract	Massachusetts	...	5,040
Middlesex County CT 3532	Census Tract	Massachusetts	3,143	4,897
Middlesex County CT 3533	Census Tract	Massachusetts	3,636	3,471
Middlesex County CT 3534	Census Tract	Massachusetts	2,430	2,848
Middlesex County CT 3535	Census Tract	Massachusetts	2,599	2,602
Middlesex County CT 3536	Census Tract	Massachusetts	4,742	4,551
Middlesex County CT 3537	Census Tract	Massachusetts	5,246	5,365
Middlesex County CT 3538	Census Tract	Massachusetts	4,636	4,702
Middlesex County CT 3539	Census Tract	Massachusetts	5,923	7,090
Middlesex County CT 3540	Census Tract	Massachusetts	4,649	4,366
Middlesex County CT 3541	Census Tract	Massachusetts	2,704	2,907
Middlesex County CT 3542	Census Tract	Massachusetts	3,063	2,907
Middlesex County CT 3543	Census Tract	Massachusetts	3,266	3,346
Middlesex County CT 3544	Census Tract	Massachusetts	1,714	1,647
Middlesex County CT 3545	Census Tract	Massachusetts	2,405	2,236
Middlesex County CT 3546	Census Tract	Massachusetts	4,409	4,538
Middlesex County CT 3547	Census Tract	Massachusetts	2,481	2,509
Middlesex County CT 3548	Census Tract	Massachusetts	2,049	1,903
Middlesex County CT 3549	Census Tract	Massachusetts	5,235	6,058
Middlesex County CT 3550	Census Tract	Massachusetts	2,712	2,689
Middlesex County CT 3561	Census Tract	Massachusetts	3,104	3,110
Middlesex County CT 3563	Census Tract	Massachusetts	5,031	5,040
Middlesex County CT 3564	Census Tract	Massachusetts	7,167	7,247
Middlesex County CT 3565	Census Tract	Massachusetts	6,502	6,580
Middlesex County CT 3566.01	Census Tract	Massachusetts	4,478	4,216
Middlesex County CT 3566.02	Census Tract	Massachusetts	3,878	4,169
Middlesex County CT 3567.01	Census Tract	Massachusetts	...	5,844
Middlesex County CT 3567.02	Census Tract	Massachusetts	...	6,638
Middlesex County CT 3571	Census Tract	Massachusetts	4,148	4,185
Middlesex County CT 3572	Census Tract	Massachusetts	3,204	3,202
Middlesex County CT 3573	Census Tract	Massachusetts	2,871	2,973
Middlesex County CT 3574	Census Tract	Massachusetts	2,277	2,339
Middlesex County CT 3575	Census Tract	Massachusetts	2,177	2,130
Middlesex County CT 3576	Census Tract	Massachusetts	2,365	2,432
Middlesex County CT 3577	Census Tract	Massachusetts	3,283	3,727
Middlesex County CT 3578	Census Tract	Massachusetts	3,869	3,741
Middlesex County CT 3581	Census Tract	Massachusetts	5,040	5,105
Middlesex County CT 3583	Census Tract	Massachusetts	4,725	5,526
Middlesex County CT 3584	Census Tract	Massachusetts	4,887	4,895
Middlesex County CT 3585	Census Tract	Massachusetts	5,174	4,861
Middlesex County CT 3586	Census Tract	Massachusetts	5,754	5,947
Middlesex County CT 3587	Census Tract	Massachusetts	4,775	5,060
Middlesex County CT 3591	Census Tract	Massachusetts	5,623	6,198
Middlesex County CT 3593	Census Tract	Massachusetts	6,972	7,122
Middlesex County CT 3601	Census Tract	Massachusetts	2,904	1,286
Middlesex County CT 3602	Census Tract	Massachusetts	5,152	5,076
Middlesex County CT 3611	Census Tract	Massachusetts	5,483	5,657
Middlesex County CT 3612	Census Tract	Massachusetts	5,491	5,765
Middlesex County CT 3613	Census Tract	Massachusetts	6,019	6,246
Middlesex County CT 3621	Census Tract	Massachusetts	4,717	4,852
Middlesex County CT 3631.02	Census Tract	Massachusetts	4,752	5,909
Middlesex County CT 3631.03	Census Tract	Massachusetts	...	3,229
Middlesex County CT 3631.04	Census Tract	Massachusetts	...	6,105
Middlesex County CT 3632.01	Census Tract	Massachusetts	3,167	3,219
Middlesex County CT 3632.02	Census Tract	Massachusetts	3,377	3,462
Middlesex County CT 3641.01	Census Tract	Massachusetts	5,484	5,266
Middlesex County CT 3641.02	Census Tract	Massachusetts	4,949	4,840
Middlesex County CT 3651	Census Tract	Massachusetts	7,271	7,732
Middlesex County CT 3652.01	Census Tract	Massachusetts	5,470	5,607
Middlesex County CT 3652.02	Census Tract	Massachusetts	4,100	4,320
Middlesex County CT 3661	Census Tract	Massachusetts	4,907	4,697
Middlesex County CT 3662.01	Census Tract	Massachusetts	...	3,598
Middlesex County CT 3662.02	Census Tract	Massachusetts	...	4,699
Middlesex County CT 3671	Census Tract	Massachusetts	4,042	3,959
Middlesex County CT 3672	Census Tract	Massachusetts	7,427	7,302
Middlesex County CT 3681.01	Census Tract	Massachusetts	5,803	6,101
Middlesex County CT 3681.02	Census Tract	Massachusetts	3,780	3,627
Middlesex County CT 3682	Census Tract	Massachusetts	4,384	4,294
Middlesex County CT 3683	Census Tract	Massachusetts	4,364	5,345
Middlesex County CT 3684	Census Tract	Massachusetts	8,839	8,117
Middlesex County CT 3685	Census Tract	Massachusetts	3,414	3,297
Middlesex County CT 3686	Census Tract	Massachusetts	5,486	5,196
Middlesex County CT 3687	Census Tract	Massachusetts	2,525	2,462
Middlesex County CT 3688	Census Tract	Massachusetts	4,900	4,741
Middlesex County CT 3689.01	Census Tract	Massachusetts	6,816	6,801
Middlesex County CT 3689.02	Census Tract	Massachusetts	2,960	4,320
Middlesex County CT 3690	Census Tract	Massachusetts	750	1,528
